sample_set,batch,replicate,sample_id,container_type,hplc_present,matching_measurements,hplc_status,plate_metadata_present,metadata_experiment,metadata_plate,metadata_well,metadata_media,legend_treatment_label,metadata_strain,metadata_date,metadata_comment,metadata_culture_duration_hours,metadata_od750,metadata_support,metadata_data_type,hplc_sample_code,hplc_sample_legend_present,hplc_sample_date,hplc_total_volume_centrifuged_ml_per_falcon,hplc_number_of_falcons,hplc_legend_note_1,hplc_legend_note_2,hplc_quantitative_reference_present,hplc_quantitative_reference_status,group_code,r735_mean,r735_max,r735_sum,r905_mean,r905_max,r905_sum,r1156_mean,r1156_max,r1156_sum,r1408_mean,r1408_max,r1408_sum,r1523_mean,r1523_max,r1523_sum,r1878_mean,r1878_max,r1878_sum,target_source,rhamnose_gL,xylose_gL,glucose_gL,parafac_selected_rank,parafac_score_c1,parafac_score_c2,parafac_score_c3,parafac_score_c4,parafac_score_c5,parafac_score_c6
MSStandards,4,1,B10,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,B10,2026-03-11T00:00:00Z,Rha-Glu (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,3.000797,8.766068,216.057355,29.278862,37.553410,2108.078070,-4.934973,2.163101,-360.252993,-4.018422,-0.102570,-313.436913,1.034149,9.933319,74.458711,2.084192,6.512299,162.566987,known_standard_or_spike,0.01,0,0.01,6,0.045349743,0.00050118105,1.7529789e-43,0.066544885,8.9987351e-28,0.043506173
MSStandards,4,1,B11,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,B11,2026-03-11T00:00:00Z,Rha-Xyl (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,38.929213,43.821690,2802.903370,54.110490,62.703460,3895.955270,10.033279,18.274120,732.429387,1.543579,5.307663,120.399142,3.562437,10.884410,256.495447,0.382619,3.887238,29.844285,known_standard_or_spike,0.01,0.01,0,6,0.038341292,0.00041639799,1.9545126e-38,0.045152366,6.7228011e-20,0.030640921
MSStandards,4,1,B2,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,B2,2026-03-11T00:00:00Z,Rha (0.75),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,38.470137,43.605510,2769.849900,54.138493,63.748890,3897.971530,10.000028,19.449500,730.002069,1.412496,7.373352,110.174676,3.128298,11.013660,225.237422,-0.018610,3.694969,-1.451607,known_standard_or_spike,0.75,0,0,6,0.016210677,0.00011066047,1.0913771e-22,0.026002436,3.9826175e-09,0.0274872
MSStandards,4,1,B3,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,B3,2026-03-11T00:00:00Z,Rha (0.25),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,5.444340,11.406880,391.992480,27.567710,35.911180,1984.875130,-4.830415,1.389999,-352.620268,-1.581836,3.474258,-123.383193,3.063788,7.959442,220.592728,1.771194,6.097260,138.153094,known_standard_or_spike,0.25,0,0,6,0.026988941,0.0015823686,1.9086508e-34,0.033761465,7.8103397e-15,0.028979473
MSStandards,4,1,B4,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,B4,2026-03-11T00:00:00Z,Rha (0.05),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,34.280125,39.890750,2468.168990,50.714875,60.021390,3651.471030,9.019515,16.205060,658.424608,1.844967,5.460739,143.907437,3.357279,10.606400,241.724084,-0.757461,2.241135,-59.081924,known_standard_or_spike,0.05,0,0,6,0.021440504,0.00022543731,6.648359e-28,0.036202109,1.0472431e-13,0.028595359
MSStandards,4,1,B5,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,B5,2026-03-11T00:00:00Z,Glu (5),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,39.785374,45.502200,2864.546920,55.522198,62.934520,3997.598270,10.693836,19.562830,780.650026,1.769376,5.780228,138.011344,2.977005,10.464390,214.344378,-0.210347,2.617302,-16.407072,known_standard_or_spike,0,0,5,6,0.025586336,0.00046780388,4.5637512e-33,0.039006375,4.9349409e-17,0.029639859
MSStandards,4,1,B6,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,B6,2026-03-11T00:00:00Z,Glu (1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,37.923700,44.204350,2730.506380,52.817067,60.774250,3802.828810,9.866521,18.366130,720.256038,2.100419,5.896454,163.832651,4.041226,11.378280,290.968308,-0.320409,2.917282,-24.991869,known_standard_or_spike,0,0,1,6,0.046313452,0.00022687634,2.5467758e-40,0.069077756,9.5487062e-28,0.047537642
MSStandards,4,1,B7,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,B7,2026-03-11T00:00:00Z,Glu (0.25),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,43.455062,50.209320,3128.764450,56.892236,65.467670,4096.240980,11.287321,19.814500,823.974467,1.946594,4.712959,151.834316,3.750043,11.839290,270.003070,-0.143474,3.169830,-11.190971,known_standard_or_spike,0,0,0.25,6,0.045580369,0.00016981499,7.0940148e-39,0.068341402,2.5017634e-26,0.044162792
MSStandards,4,1,B8,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,B8,2026-03-11T00:00:00Z,Glu (0.05),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,43.927388,50.123230,3162.771920,57.184167,65.374600,4117.260030,10.421859,19.554150,760.795678,1.224898,5.876389,95.542009,3.068389,11.088410,220.924040,-0.915222,1.982597,-71.387323,known_standard_or_spike,0,0,0.05,6,0.040667975,2.3780361e-05,7.2599802e-38,0.060427971,2.568488e-25,0.041327565
MSStandards,4,1,B9,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,B9,2026-03-11T00:00:00Z,Glu (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,42.476731,48.163430,3058.324620,56.568963,68.082760,4072.965360,10.145005,17.868890,740.585378,1.191888,5.023605,92.967249,3.063063,10.375890,220.540524,0.038612,4.158981,3.011743,known_standard_or_spike,0,0,0.01,6,0.046082785,0.00011915331,5.9575149e-37,0.082075219,7.5588793e-31,0.053518228
MSStandards,4,1,C10,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,C10,2026-03-11T00:00:00Z,Rha-Glu (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,34.917504,41.303140,2514.060290,51.963432,62.638370,3741.367110,8.987199,17.164100,656.065496,2.589266,6.351181,201.962720,4.270398,13.055180,307.468663,0.052239,3.509346,4.074661,known_standard_or_spike,0.01,0,0.01,6,0.040215043,0.00019997494,2.0990522e-42,0.054719715,3.4389541e-24,0.032772564
MSStandards,4,1,C11,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,C11,2026-03-11T00:00:00Z,Rha-Xyl (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,31.560575,36.246510,2272.361400,49.412849,56.850020,3557.725160,8.254459,15.673230,602.575482,2.581488,8.825943,201.356062,4.540026,11.832780,326.881895,-0.515175,2.194107,-40.183654,known_standard_or_spike,0.01,0.01,0,6,0.02686234,0.0017608712,8.1926617e-34,0.043653796,2.6417513e-19,0.033124933
MSStandards,4,1,C2,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,C2,2026-03-11T00:00:00Z,Rha (0.75),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,36.535773,44.538490,2630.575640,52.413574,60.792910,3773.777350,9.802752,20.340790,715.600908,3.375080,7.554588,263.256271,4.395684,10.820320,316.489263,0.050676,3.376312,3.952736,known_standard_or_spike,0.75,0,0,6,0.021894888,7.1484585e-05,5.0350726e-28,0.03819323,6.2667656e-16,0.029373945
MSStandards,4,1,C3,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,C3,2026-03-11T00:00:00Z,Rha (0.1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,37.200993,43.165280,2678.471510,52.920875,61.761230,3810.303020,9.187327,15.667780,670.674855,1.398354,5.199226,109.071639,2.353069,10.890640,169.420990,-0.093746,3.356293,-7.312176,known_standard_or_spike,0.1,0,0,6,0.019755861,0.0003953451,2.7094468e-25,0.034798275,4.9010264e-14,0.028157811
MSStandards,4,1,C4,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,C4,2026-03-11T00:00:00Z,Rha (0.05),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,34.856443,40.660160,2509.663930,52.314620,63.031520,3766.652670,10.026714,16.603960,731.950132,3.046847,7.040932,237.654068,4.648796,11.174460,334.713302,0.114597,3.197441,8.938553,known_standard_or_spike,0.05,0,0,6,0.01937564,0.00036351352,6.7421414e-25,0.037446724,6.694416e-14,0.028502085
MSStandards,4,1,C5,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,C5,2026-03-11T00:00:00Z,Glu (5),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,40.530485,44.804500,2918.194920,55.787109,63.348840,4016.671870,10.972551,20.992970,800.996238,1.817695,7.161133,141.780199,2.637968,10.234630,189.933699,0.130300,2.790527,10.163423,known_standard_or_spike,0,0,5,6,0.022516471,0.00074324758,2.4017474e-30,0.039345703,1.010852e-16,0.029768314
MSStandards,4,1,C6,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,C6,2026-03-11T00:00:00Z,Glu (0.75),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,42.244627,50.410900,3041.613130,55.395062,64.594980,3988.444440,9.822478,17.813130,717.040897,1.625248,4.782753,126.769367,2.909290,8.380432,209.468891,-0.226193,2.506371,-17.643038,known_standard_or_spike,0,0,0.75,6,0.038285146,0.00034743574,3.9868982e-40,0.056232612,3.0293109e-25,0.041318696
MSStandards,4,1,C7,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,C7,2026-03-11T00:00:00Z,Glu (0.25),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,39.423325,44.783000,2838.479400,55.395474,62.674210,3988.474120,9.966021,17.440740,727.519515,1.529682,4.593864,119.315178,3.322938,9.420631,239.251557,-0.060031,4.786682,-4.682394,known_standard_or_spike,0,0,0.25,6,0.040065307,0.00028964014,2.8870766e-40,0.057478718,9.5024723e-26,0.042782396
MSStandards,4,1,C8,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,C8,2026-03-11T00:00:00Z,Glu (0.05),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,42.972203,51.507460,3093.998580,58.927048,67.258940,4242.747430,11.292654,22.331200,824.363732,2.768094,8.187027,215.911367,4.410781,10.665710,317.576235,0.930778,5.782646,72.600651,known_standard_or_spike,0,0,0.05,6,0.030294232,0.0012578978,3.2180803e-34,0.04437483,9.6193743e-20,0.031186166
MSStandards,4,1,C9,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,C9,2026-03-11T00:00:00Z,Rha-Glu (1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,43.762152,51.539310,3150.874960,58.014735,66.574080,4177.060920,11.626970,18.448130,848.768784,1.842883,6.808662,143.744896,3.238430,11.471280,233.166924,-0.133156,2.437767,-10.386198,known_standard_or_spike,1,0,1,6,0.03132121,0.00016237508,2.5726802e-34,0.04731083,1.338779e-20,0.035086888
MSStandards,4,1,D1,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,D1,2026-03-11T00:00:00Z,Rha (2.5),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,30.092832,34.858150,2166.683870,49.313722,58.921570,3550.588000,8.513040,14.697880,621.451953,1.836287,7.112167,143.230413,3.002316,8.029152,216.166786,-0.211785,2.447800,-16.519226,known_standard_or_spike,2.5,0,0,6,0.052657288,0.0008168803,1.2232343e-36,0.094057215,3.5893784e-30,0.067013663
MSStandards,4,1,D10,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,D10,2026-03-11T00:00:00Z,Rha-Xyl (1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,33.266895,39.396160,2395.216430,48.725356,57.530110,3508.225660,10.018507,16.115110,731.351020,2.912749,7.120285,227.194454,3.767963,9.758453,271.293368,0.135592,5.489594,10.576174,known_standard_or_spike,1,1,0,6,0.026987736,0.00015472583,6.0091197e-31,0.045577684,6.8220326e-20,0.033282012
MSStandards,4,1,D11,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,D11,2026-03-11T00:00:00Z,Rha-Xyl (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,35.615795,39.994390,2564.337260,50.585417,58.424630,3642.150010,9.948978,16.533160,726.275372,2.358132,6.287666,183.934327,3.062416,9.051773,220.493957,-0.289182,3.267868,-22.556230,known_standard_or_spike,0.01,0.01,0,6,0.026829492,0.00010657895,7.2473459e-33,0.040811671,2.1028709e-19,0.029343532
MSStandards,4,1,D2,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,D2,2026-03-11T00:00:00Z,Rha (0.75),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,34.115262,41.643430,2456.298860,50.270080,63.196990,3619.445790,8.744541,17.024320,638.351493,2.044027,6.032135,159.434081,3.004663,10.402190,216.335767,-0.200889,3.854042,-15.669374,known_standard_or_spike,0.75,0,0,6,0.021492971,0.00033338332,1.6489661e-28,0.033294247,2.6560374e-13,0.027163595
MSStandards,4,1,D3,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,D3,2026-03-11T00:00:00Z,Rha (0.1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,39.623109,48.456500,2852.863830,53.433338,60.456760,3847.200370,9.458448,17.164870,690.466668,1.837397,4.999817,143.316947,3.162978,9.032845,227.734397,-0.077722,4.529228,-6.062319,known_standard_or_spike,0.1,0,0,6,0.019090443,0.00040443731,7.1234793e-26,0.033237067,3.0288339e-13,0.027561831
MSStandards,4,1,D4,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,D4,2026-03-11T00:00:00Z,Rha (0.025),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,40.525621,45.155980,2917.844740,55.354340,64.376790,3985.512470,10.380234,17.918370,757.757068,2.461909,6.863213,192.028892,3.879047,10.094080,279.291358,0.596841,4.085442,46.553576,known_standard_or_spike,0.025,0,0,6,0.020842951,0.0013751982,1.8145978e-28,0.033935703,2.6421306e-13,0.026958801
MSStandards,4,1,D5,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,D5,2026-03-11T00:00:00Z,Glu (5),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,29.538190,36.033250,2126.749690,48.255091,58.442860,3474.366520,8.497484,18.541500,620.316307,2.121208,5.044724,165.454257,3.084924,8.719116,222.114529,-0.340612,2.565567,-26.567715,known_standard_or_spike,0,0,5,6,0.024806536,0.00033097763,7.5207929e-31,0.033070444,7.5070043e-13,0.028514689
MSStandards,4,1,D6,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,D6,2026-03-11T00:00:00Z,Glu (0.75),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,43.676383,48.010350,3144.699580,57.174076,65.307620,4116.533460,10.801077,18.213870,788.478614,1.208335,4.948608,94.250165,2.765618,9.656754,199.124493,0.308996,3.034752,24.101661,known_standard_or_spike,0,0,0.75,6,0.024390236,0.00020920475,6.4136401e-30,0.043250642,3.0608556e-18,0.031345985
MSStandards,4,1,D7,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,D7,2026-03-11T00:00:00Z,Glu (0.1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,37.083157,43.269710,2669.987290,54.090182,60.367370,3894.493070,9.632940,16.233260,703.204603,2.226289,5.755478,173.650559,4.095679,10.632870,294.888921,-0.593368,2.612724,-46.282676,known_standard_or_spike,0,0,0.1,6,0.025899469,0.00021962615,4.9955413e-31,0.04153185,6.6798129e-17,0.033354834
MSStandards,4,1,D8,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,D8,2026-03-11T00:00:00Z,Glu (0.05),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,40.692957,45.343670,2929.892930,52.709322,61.045870,3795.071220,10.257197,19.004300,748.775409,1.312240,4.749687,102.354692,2.185590,7.478371,157.362463,-0.407060,2.473137,-31.750654,known_standard_or_spike,0,0,0.05,6,0.030895372,0.00013123483,9.7135653e-33,0.050906101,8.7845418e-22,0.037130012
MSStandards,4,1,D9,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,D9,2026-03-11T00:00:00Z,Rha-Glu (1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,27.841287,34.506940,2004.572700,44.757643,53.686190,3222.550300,7.309564,13.724300,533.598146,1.982422,6.723877,154.628954,3.769872,10.358510,271.430819,-0.361264,3.520279,-28.178588,known_standard_or_spike,1,0,1,6,0.04154769,0.00027755268,1.9731942e-36,0.061418799,3.935332e-25,0.03917633
MSStandards,4,1,E1,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,E1,2026-03-11T00:00:00Z,Rha (2.5),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,29.841499,34.258710,2148.587950,44.546160,54.209230,3207.323540,7.611897,14.133630,555.668468,1.592165,7.274712,124.188867,3.226678,10.191460,232.320808,0.121055,2.502037,9.442254,known_standard_or_spike,2.5,0,0,6,0.043094253,0.0038673542,1.0002889e-11,0.10128695,0.0099060815,0.074881475
MSStandards,4,1,E10,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,E10,2026-03-11T00:00:00Z,Rha-Xyl (1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,29.711366,35.946790,2139.218320,45.197028,53.283050,3254.186050,8.779615,16.949390,640.911922,4.607265,9.378601,359.366680,4.492516,11.255110,323.461169,0.148526,4.683685,11.585037,known_standard_or_spike,1,1,0,6,0.019991334,0.00026108224,9.4987906e-27,0.032934802,6.2919725e-14,0.027062319
MSStandards,4,1,E2,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,E2,2026-03-11T00:00:00Z,Rha (0.5),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,26.026587,30.243960,1873.914300,43.050555,50.488020,3099.639990,6.494709,12.498920,474.113730,1.848224,6.602051,144.161473,2.712217,9.182816,195.279633,-0.242395,3.132019,-18.906785,known_standard_or_spike,0.5,0,0,6,0.015315842,0.00028656901,1.4407902e-21,0.030949691,9.0760823e-12,0.026851024
MSStandards,4,1,E3,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,E3,2026-03-11T00:00:00Z,Rha (0.1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,36.698372,41.511380,2642.282750,49.427241,56.869800,3558.761350,8.526691,18.128930,622.448472,1.156657,4.295395,90.219235,2.365535,8.113739,170.318552,-0.423209,2.918808,-33.010269,known_standard_or_spike,0.1,0,0,6,0.01779028,0.00095106298,2.8185822e-25,0.025509101,5.3042166e-09,0.024848078
