sample_set,batch,replicate,sample_id,container_type,eem_present,raman_present,hplc_present,matching_measurements,eem_file,raman_file,hplc_status,plate_metadata_present,eem_plate_metadata_present,raman_plate_metadata_present,metadata_experiment,metadata_plate,metadata_well,metadata_media,legend_treatment_label,metadata_strain,metadata_date,metadata_comment,metadata_culture_duration_hours,metadata_od750,metadata_support,metadata_data_type,hplc_sample_code,hplc_sample_legend_present,hplc_sample_date,hplc_total_volume_centrifuged_ml_per_falcon,hplc_number_of_falcons,hplc_legend_note_1,hplc_legend_note_2,hplc_quantitative_reference_present,hplc_quantitative_reference_status,group_code,eem_available,raman_available,raman_crop_mean,raman_crop_max,raman_crop_sum,r735_mean,r735_max,r735_sum,r905_mean,r905_max,r905_sum,r1156_mean,r1156_max,r1156_sum,r1408_mean,r1408_max,r1408_sum,r1523_mean,r1523_max,r1523_sum,r1878_mean,r1878_max,r1878_sum,raman_ratio_1523_1156,raman_ratio_905_735,eem_raw_mean,eem_raw_max,eem_clean_mean,eem_clean_max,eem_over_fraction_total,eem_clean_valid_fraction,eem_h1_ex380_em400,eem_h2_ex380_em420,eem_h3_ex400_em420,eem_h4_ex400_em440,eem_h5_ex420_em460,eem_h6_ex440_em480,target_source,rhamnose_gL,xylose_gL,glucose_gL
MSStandards,4,1,B10,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_B10.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_B10.CSV,reference workbook missing from local extraction,True,False,True,4,1,B10,2026-03-11T00:00:00Z,Rha-Glu (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,5.571365,49.500580,8669.044681,3.000797,8.766068,216.057355,29.278862,37.553410,2108.078070,-4.934973,2.163101,-360.252993,-4.018422,-0.102570,-313.436913,1.034149,9.933319,74.458711,2.084192,6.512299,162.566987,-0.209555,9.757030,80590.031111,4372332.000000,942.965517,33229.000000,0.107143,0.690476,,5095.000000,,598.000000,316.000000,293.000000,known_standard_or_spike,0.01,0,0.01
MSStandards,4,1,B11,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_B11.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_B11.CSV,reference workbook missing from local extraction,True,False,True,4,1,B11,2026-03-11T00:00:00Z,Rha-Xyl (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,20.742695,99.554670,32275.634137,38.929213,43.821690,2802.903370,54.110490,62.703460,3895.955270,10.033279,18.274120,732.429387,1.543579,5.307663,120.399142,3.562437,10.884410,256.495447,0.382619,3.887238,29.844285,0.355062,1.389971,93176.353982,5004342.000000,768.045977,23006.000000,0.103175,0.690476,,5040.000000,,815.000000,327.000000,302.000000,known_standard_or_spike,0.01,0.01,0
MSStandards,4,1,B2,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_B2.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_B2.CSV,reference workbook missing from local extraction,True,False,True,4,1,B2,2026-03-11T00:00:00Z,Rha (0.75),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,20.387968,96.466540,31723.678727,38.470137,43.605510,2769.849900,54.138493,63.748890,3897.971530,10.000028,19.449500,730.002069,1.412496,7.373352,110.174676,3.128298,11.013660,225.237422,-0.018610,3.694969,-1.451607,0.312829,1.407286,119261.292035,6155394.000000,528.873563,14884.000000,0.103175,0.690476,,1899.000000,,373.000000,190.000000,175.000000,known_standard_or_spike,0.75,0,0
MSStandards,4,1,B3,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_B3.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_B3.CSV,reference workbook missing from local extraction,True,False,True,4,1,B3,2026-03-11T00:00:00Z,Rha (0.25),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,6.526256,55.441350,10154.854106,5.444340,11.406880,391.992480,27.567710,35.911180,1984.875130,-4.830415,1.389999,-352.620268,-1.581836,3.474258,-123.383193,3.063788,7.959442,220.592728,1.771194,6.097260,138.153094,-0.634270,5.063554,111103.238938,6047633.000000,641.954023,17323.000000,0.103175,0.690476,,3061.000000,,405.000000,227.000000,205.000000,known_standard_or_spike,0.25,0,0
MSStandards,4,1,B4,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_B4.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_B4.CSV,reference workbook missing from local extraction,True,False,True,4,1,B4,2026-03-11T00:00:00Z,Rha (0.05),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,18.408191,90.574920,28643.145323,34.280125,39.890750,2468.168990,50.714875,60.021390,3651.471030,9.019515,16.205060,658.424608,1.844967,5.460739,143.907437,3.357279,10.606400,241.724084,-0.757461,2.241135,-59.081924,0.372224,1.479425,121359.061947,6440901.000000,606.672414,17789.000000,0.103175,0.690476,,2184.000000,,379.000000,226.000000,197.000000,known_standard_or_spike,0.05,0,0
MSStandards,4,1,B5,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_B5.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_B5.CSV,reference workbook missing from local extraction,True,False,True,4,1,B5,2026-03-11T00:00:00Z,Glu (5),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,20.913924,102.054200,32542.066268,39.785374,45.502200,2864.546920,55.522198,62.934520,3997.598270,10.693836,19.562830,780.650026,1.769376,5.780228,138.011344,2.977005,10.464390,214.344378,-0.210347,2.617302,-16.407072,0.278385,1.395543,117075.269912,6119474.000000,641.149425,19297.000000,0.103175,0.690476,,2874.000000,,387.000000,214.000000,185.000000,known_standard_or_spike,0,0,5
MSStandards,4,1,B6,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_B6.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_B6.CSV,reference workbook missing from local extraction,True,False,True,4,1,B6,2026-03-11T00:00:00Z,Glu (1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,20.064581,95.237370,31220.487664,37.923700,44.204350,2730.506380,52.817067,60.774250,3802.828810,9.866521,18.366130,720.256038,2.100419,5.896454,163.832651,4.041226,11.378280,290.968308,-0.320409,2.917282,-24.991869,0.409590,1.392719,93311.551111,5100376.000000,977.442529,34449.000000,0.107143,0.690476,,4731.000000,,730.000000,336.000000,291.000000,known_standard_or_spike,0,0,1
MSStandards,4,1,B7,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_B7.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_B7.CSV,reference workbook missing from local extraction,True,False,True,4,1,B7,2026-03-11T00:00:00Z,Glu (0.25),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,22.320131,106.323900,34730.124173,43.455062,50.209320,3128.764450,56.892236,65.467670,4096.240980,11.287321,19.814500,823.974467,1.946594,4.712959,151.834316,3.750043,11.839290,270.003070,-0.143474,3.169830,-11.190971,0.332235,1.309220,91455.186667,4957978.000000,939.275862,33929.000000,0.107143,0.690476,,4896.000000,,738.000000,308.000000,282.000000,known_standard_or_spike,0,0,0.25
MSStandards,4,1,B8,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_B8.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_B8.CSV,reference workbook missing from local extraction,True,False,True,4,1,B8,2026-03-11T00:00:00Z,Glu (0.05),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,22.227871,107.445600,34586.566901,43.927388,50.123230,3162.771920,57.184167,65.374600,4117.260030,10.421859,19.554150,760.795678,1.224898,5.876389,95.542009,3.068389,11.088410,220.924040,-0.915222,1.982597,-71.387323,0.294419,1.301788,112693.526549,6328907.000000,873.201149,29931.000000,0.103175,0.690476,,4795.000000,,639.000000,347.000000,290.000000,known_standard_or_spike,0,0,0.05
MSStandards,4,1,B9,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_B9.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_B9.CSV,reference workbook missing from local extraction,True,False,True,4,1,B9,2026-03-11T00:00:00Z,Glu (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,22.025975,106.646800,34272.416336,42.476731,48.163430,3058.324620,56.568963,68.082760,4072.965360,10.145005,17.868890,740.585378,1.191888,5.023605,92.967249,3.063063,10.375890,220.540524,0.038612,4.158981,3.011743,0.301928,1.331764,87904.320000,4771029.000000,1023.218391,40941.000000,0.107143,0.690476,,5221.000000,,662.000000,314.000000,279.000000,known_standard_or_spike,0,0,0.01
MSStandards,4,1,C10,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_C10.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_C10.CSV,reference workbook missing from local extraction,True,False,True,4,1,C10,2026-03-11T00:00:00Z,Rha-Glu (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,19.339042,95.491360,30091.549704,34.917504,41.303140,2514.060290,51.963432,62.638370,3741.367110,8.987199,17.164100,656.065496,2.589266,6.351181,201.962720,4.270398,13.055180,307.468663,0.052239,3.509346,4.074661,0.475165,1.488177,104460.128319,5651561.000000,814.752874,27107.000000,0.103175,0.690476,,4509.000000,,606.000000,258.000000,245.000000,known_standard_or_spike,0.01,0,0.01
MSStandards,4,1,C11,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_C11.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_C11.CSV,reference workbook missing from local extraction,True,False,True,4,1,C11,2026-03-11T00:00:00Z,Rha-Xyl (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,17.969656,85.186360,27960.784648,31.560575,36.246510,2272.361400,49.412849,56.850020,3557.725160,8.254459,15.673230,602.575482,2.581488,8.825943,201.356062,4.540026,11.832780,326.881895,-0.515175,2.194107,-40.183654,0.550009,1.565651,90287.773333,4911001.000000,697.241379,22388.000000,0.107143,0.690476,,3093.000000,,523.000000,230.000000,208.000000,known_standard_or_spike,0.01,0.01,0
